file_identifier;key;value
cb6bdd34d37753c79cb7443c0456418f;file_name;13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html
cb6bdd34d37753c79cb7443c0456418f;import_date;29/04/2023 18:55:06
cb6bdd34d37753c79cb7443c0456418f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html
cb6bdd34d37753c79cb7443c0456418f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html
cb6bdd34d37753c79cb7443c0456418f;file_pattern;*AVIS-SOC*
eb72a2223d0e26cda06b53877b8a2dc9;file_size;348.02 Ko
eb72a2223d0e26cda06b53877b8a2dc9;file_name;13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html
eb72a2223d0e26cda06b53877b8a2dc9;import_date;29/04/2023 18:55:06
eb72a2223d0e26cda06b53877b8a2dc9;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html
eb72a2223d0e26cda06b53877b8a2dc9;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html
eb72a2223d0e26cda06b53877b8a2dc9;file_pattern;*AVIS-SOC*
ae27d070ed7ee19d4e512860c5abb9ab;file_size;230.19 Ko
ae27d070ed7ee19d4e512860c5abb9ab;file_name;13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html
ae27d070ed7ee19d4e512860c5abb9ab;import_date;29/04/2023 18:55:06
ae27d070ed7ee19d4e512860c5abb9ab;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html
ae27d070ed7ee19d4e512860c5abb9ab;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html
ae27d070ed7ee19d4e512860c5abb9ab;file_pattern;*AVIS-SOC*
673316ce5d274d76361f24972672df1f;file_size;403.44 Ko
673316ce5d274d76361f24972672df1f;file_name;13576-AVIS-SOC-GLASSDOOR-E18712_P1.html
673316ce5d274d76361f24972672df1f;import_date;29/04/2023 18:55:06
